CLIENT_NUM,EN_CLIENT_NM_AN,FR_CLIENT_NM
275044,Aliments Ouimet-Cordon Bleu Inc.,Aliments Ouimet-Cordon Bleu Inc.
275045,Cenovus Energy Inc.,null
275064,Prestige Nursing Service Inc,null
275084,N-E Nova Scotia Snow Crab Association,null
275085,Integran Technologies Inc,null
275104,Cavendish Farms,null
275124,University of Waterloo,null
275125,Enbridge Inc.,Enbridge Inc.
275144,Netflix Inc (through GCI),null
275164,S. S. Norisle Steamship Society,null
275165,Hydro-Wick Industries Limited,Les Industries Hydro-Wick Limitée
275184,Enbridge Inc.,null
275185,BC Milk Producers Association,null
275186,BC Milk Producers Association,null
275187,National Optics Institute (INO),Institut national d'optique (INO)
275188,Coca-Cola Refreshments Canada Company,Compagnie Rafraichissements Coca-Cola Canada
275204,Nisichawayasihk Cree Nation,null
275224,Credit Union Central of Canada,null
275244,Emerson Network Power Liebert Canada,null
275245,MDA Systems Ltd.,null
275246,OLE MEDIA MANAGEMENT,null
275265,Symantec Canada,null
275284,Association for Action on Smoking and Health,null
275304,exactEarth Ltd.,null
275324,Coca-Cola Refreshments Canada,null
275344,Coca-Cola Refreshments Canada,null
275345,Coca-Cola Refreshments Canada,null
275384,BC Milk Producers Association,null
275404,Vancouver International Airport Authority,null
275424,BC Milk Producers Association,null
275425,BC Dairy Association,null
275426,BC Milk Producers Association,null
275444,BC Milk Producers Association,null
275445,2850401 Canada Inc. (Boulangerie Première Moisson),2850401 Canada Inc. (Boulangerie Première Moisson)
275446,Ottawa Sports and Entertainment Group,null
275447,Ottawa Sports and Entertainment Group,null
275465,Encana Corporation,null
275484,Summerhill Impact,null
275504,TVRGA Consulting Inc.,null
275524,Dairy Farmers of Nova Scotia,null
275525,Dairy Farmers of Nova Scotia,null
275526,Dairy Farmers of Nova Scotia,null
275527,Dairy Farmers of Nova Scotia,null
275528,Dairy Farmers of Nova Scotia,null
275529,Dairy Farmers of Nova Scotia,null
275544,Netflix Inc.,null
275545,Nexter Group Systems,null
275564,Summerhill Impact,null
275565,exactEarth Ltd.,null
275584,Visa Canada Corporation,Corporation Visa Canada
275604,Dairy Farmers of Ontario,null
275624,Abbott Laboratories,null
275644,Richmond International Technology Corp.,null
275664,MARS Canada Inc.,null
275665,CRFA (Canadian Renewable Fuels Association,Association canadienne des carburants renouvelables
275666,Alberta Milk,null
275667,Aerospace BC Society,null
275668,Netflix Inc.,null
275669,Curam Software,null
275684,Canadian Marine Pilots' Association,Association des pilotes maritimes du Canada
275705,Farber Financial Group,null
275724,Dairy Farmers of New Brunswick,null
275725,Manitoba Keewatinowi Okimakanak (MKO),null
275744,Steelhead Security Inc.,null
275764,Quebec Federation of Real Estate Boards,Federation des chambres immobilieres du Quebec (FCIQ)
275785,L-3 Communications Electronic Systems,null
275786,Elbit Systems Land and C-41 Tadiran Ltd.,null
275804,L-3 Communications Electronic Systems,null
275824,null,IC2 Technologies
275844,Elbit Systems Land and C-41 Tadiran Ltd.,null
275845,CANADIAN LIGHT SOURCE INC.,Centre Canadien de Rayonnement Synchrotron
275864,Association of Medical Devices Reprocessors (AMDR),null
275865,Kinder Morgan Canada Inc,null
275884,Alberta Milk,null
275885,Detour Gold Corporation,null
275904,Canadian Aboriginal and Minority Supplier Council (CAMSC),null
275905,G4S Secure Solutions (Canada) Limited,null
275906,Alberta Milk,null
275924,Economical Mutual Insurance Company,null
275944,Major International Events Network,Regroupement des événements majeurs internationaux (RÉMI)
275964,SITA,null
275965,SITA,null
275966,The Hudson’s Bay Company,Compagnie de la Baie d'Hudson
275985,Union of National Defence Employees (UNDE),L'Union des employés de la Défense nationale (UEDN)
276004,null,Fédération des producteurs de lait du Québec
276006,Alberta Milk,null
276024,Boehringer Ingelheim (Canada) Ltd.,null
276025,UCB Canada Inc.,null
276044,Boehringer Ingelheim (Canada) Ltd.,null
276045,Eisai Limited,null
276046,UCB Canada Inc.,null
276047,Eisai Limited,null
276064,Intuit Inc.,null
276065,Alberta Cheese Co. Ltd,null
276066,Association of Medical Device Reprocessors (AMDR),null
276067,Intuit Inc.,null
276084,Financial Planning Standards Council,null
276085,Philips Lumec,null
276104,Safran Electronics Canada,Safran Electronics Canada
276105,Labotix Automation Inc.,Labotix Automation Inc.
276106,Netflix Inc.,null
276124,Louisbourg Seafoods Limited,null
276125,POLICE & PEACE OFFICERS' MEMORIAL RIBBON SOCIETY CANADA,null
276225,Nordion,Nordion
276264,REEF Resources Ltd,null
276265,Alberta Milk,null
276284,Summerhill Impact,null
276304,Native Women's Association of Canada,L'Association des femmes autochtones du Canada
276305,Protol inc.,Protol inc.
276324,Rick Hansen Institute,Institut Rick Hansen
276344,Ouimet-Tomasso Inc.,Ouimet-Tomasso Inc.
276364,Alberta Milk,null
276384,CAE inc.,null
276385,Dairy Farmers of Ontario,null
276386,Canadian Beverage Association,null
276387,Dairy Farmers of Ontario,null
276388,Dairy Farmers of Ontario,null
276389,Dairy Farmers of Ontario,null
276390,Dairy Farmers of Ontario,null
276404,Dairy Farmers of New Brunswick,Producteurs laitiers du Nouveau-Brunswick
276405,Western Coal Corp.,null
276406,Semences Prograin Inc.,Semences Prograin Inc.
276424,Merit Canada,null
276444,Canadian Association of Credit Counselling Services,null
276445,Dairy Farmers of Ontario,null
276464,Col-Fax Meats,Viandes Col-Fax
276504,Fortress Specialty Cellulose inc,null
276525,Royal Bank of Canada (through the Parliamentary Group),Banque Royale du Canada (à travers le groupe Parlementaire)
276544,Seabridge Gold Inc.,null
276564,Dairy Farmers of Ontario,null
276565,Saskatchewan Telecommunications,null
276584,General Dynamics Canada,null
276585,Nycomed,null
276604,Canadian Institute of Actuaries,Institut canadien des actuaires
276624,null,Bivouac Urbain
276644,Babcock Canada,null
276645,Navantia,null
276664,Dairy Farmers of Canada,Les Producteurs laitiers du Canada
276684,Mainstream Canada (A Division of Ewos Canada Ltd.),null
276704,Mainstream Canada (A Division of Ewos Canada Ltd.),null
276705,Cermaq Canada Ltd.,null
276706,Genworth Financial Mortgage Insurance Company Canada,null
276724,Qatar Airlines (through The Parliamentary group),null
276744,Alberta Milk,null
276745,Alberta Milk,null
276764,null,Les Producteurs de lait du Québec
276784,null,Fédération des producteurs de lait du Québec
276804,Dairy Farmers of Ontario,null
276805,Dairy Farmers of Ontario,null
276806,null,Les Producteurs de lait du Québec
276807,null,Fédération des producteurs de lait du Québec
276808,null,Fédération des producteurs de lait du Québec
276809,null,Fédération des producteurs de lait du Québec
276810,null,Fédération des producteurs de lait du Québec
276811,null,Fédération des producteurs de lait du Québec
276812,null,Fédération des producteurs de lait du Québec
276813,null,Les Producteurs de lait du Québec
276824,Reader's Digest Magazines Limited,null
276844,Dairy Farmers of Ontario,null
276845,null,FESTIVAL SAINTE-AGATHE-EN-FEUX !
276846,Teksavvy Solutions Inc,null
276864,Insurance Bureau of Canada,Bureau d'assurance du Canada
276865,The Global Green Company (through McCarthy Tetrault and StrategyCorp Inc.),null
276885,Invotronics Inc.,null
276886,Productions La Fayette Inc.,Productions La Fayette Inc.
276887,Manitoba Keewatinowi Okimakanak (MKO),null
276889,Dennis Manuge through McInnes Cooper,null
276890,Alimentation Cinq Sens Inc.,Alimentation Cinq Sens Inc.
276891,Mosti Mondiale Inc.,Mosti Mondiale Inc.
276892,C&D Aerospace Canada Co.,C&D Aerospace Canada Co.
276893,Brookfield Global Relocation Services,Services globaux de relogement Brookfield
276895,First Quantum Minerals Ltd.,null
276896,Cliffs Natural Resources Inc.,null
276897,TechnoMontréal,null
276904,Canadian Association of Credit Counselling Services,null
276905,Mental Health Commission of Canada,Commission de la santé mentale du Canada
276906,Enbridge Inc.,null
276924,null,Syndicat des producteurs de lait de la Beauce
276925,Canadian Life and Health Insurance Association Inc.,Association canadienne des compagnies d'assurances de personnes inc.
276926,Monster Canada,null
276944,Animal Nutrition Association of Canada,Association de nutrition animale du Canada
276964,Cliffs Natural Resources Inc.,null
276967,Saskatchewan Cattlemen's Association,null
276984,Armenian National Committee of Canada,Comité national arménien du Canada
277024,Canadian Society for Civil Engineering,la Société canadienne de génie civil
277044,Dairy Farmers of Ontario,null
277064,Cliffs Natural Resources Inc.,null
277065,3M CANADA COMPANY,null
277066,Indigo Books & Music Inc.,null
277067,Bell Canada,null
277068,Canadian Generic Pharmaceutical Association (CGPA),L'Association canadienne du médicament générique (ACMG)
277069,Visa Canada Corporation,Corporation Visa Canada
277070,HSBC Bank Canada,null
277071,Canadian Generic Pharmaceutical Association (CGPA),L'Association canadienne du médicament générique (ACMG)
277072,HSBC Bank Canada,null
277084,6963251 Canada inc. / Château Cartier,6963251 Canada inc. / Château Cartier
277085,World Renew,null
277104,Keystone Agricultural Producers,null
277105,Cliffs Natural Resources Inc.,null
277124,Healthcare of Ontario Pension Plan (HOOPP),null
277126,Rainy River First Nations,null
277127,Canadian Wheat Board,Commission canadienne du ble
277128,Avalon Rare Metals Inc,null
277129,TMX Group,null
277144,G-15 University Presidents,null
277164,CAE Inc.,null
277184,null,La Cité collégiale
277204,Geomatics Industry Alliance,null
277205,Alpha Group Trading Systems,null
277224,Alpha Group Trading Systems,null
277225,Kronos Canadian Systems Inc.,null
277244,Canadian Tire Corporation Ltd.,null
277245,Association of University Research Parks Canada,Association des parcs universitaires de recherche
277264,Avalon Rare Metals Inc,null
277265,Avalon Rare Metals Inc,null
277284,Nexter Group Systems,null
277306,Air Liquide Canada,null
277344,null,Groupe Trudo Inc.
277345,Air Liquide Canada,null
277364,Coast Capital Savings Credit Union,null
277365,TMX Group,null
277366,BMO Financial Group,null
277367,TMX Group,null
277368,TMX Group,null
277384,Toromont CAT,null
277404,TMX Group,null
277424,Prairie Plant Systems Inc.,null
277444,ENCANA CORPORATION,null
277445,Aboriginal Pipeline Group,null
277464,Gradek Energy Inc,null
277465,CAE Inc.,null
277485,Canadian Generic Pharmaceutical Association (CGPA),L'Association canadienne du médicament générique (ACMG)
277524,Toyota Motor Manufacturing Canada Inc,null
277525,Toyota Motor Manufacturing Canada Inc,null
277526,Toyota Motor Manufacturing Canada Inc,null
277564,Enbridge Inc.,null
277584,Rapiscan Systems Inc,null
277586,Rapiscan Systems Inc,null
277587,Rapiscan Systems Inc,null
277588,Rapiscan Systems Inc,null
277589,Bäckerhaus Veit Ltd.,null
277604,Toyota Motor Manufacturing Canada Inc.,null
277605,TELESAT CANADA,null
277624,Mackenzie Valley Aboriginal Pipeline LP,null
277625,Canadian Library Association,Association canadienne des bibliothèques
277627,Teekay Shipping (Canada) Ltd.,null
277644,Vac Developments Limited,null
277664,null,GRILLAGE BOLAR CANADA INC.
277684,Kickspike Enterprises Ltd,null
277704,Teekay Shipping (Canada) Ltd,null
277725,Coca-Cola Refreshments Canada,null
277748,BHP Billiton Canada Inc.,null
277764,Kronos Canadian Systems Inc.,null
277784,Assembly of Treaty Chiefs (Alberta),null
277804,NOVA FORGE CORP.,null
277805,Rio Tinto Plc,null
277825,Canadian Medical Association,Association medicale canadienne
277844,Canadian Medical Association,Association medicale canadienne
277845,Canadian Medical Association,Association medicale canadienne
277846,Canadian Medical Association,Association medicale canadienne
277864,(ACBC) Atlantic Council Bioenergy Cooperative Limited,Conseil atlantique pour la bioenergie
277884,Garda Security Screening Inc.,null
277904,CANADIAN HEALTH FOOD ASSOCIATION,ASSOCIATION CANADIENNE DES ALIMENTS SANTÉ
277924,null,Comité organisateur 375e Anniversaire
277925,Nestlé Canada Inc,Nestlé Canada Inc
277944,Canadian Medical Association,Association medicale canadienne
277964,Fraser Valley Real Estate Board,null
277965,Fraser Valley Real Estate Board,null
277984,Canadian Fertilizer Institute,Institut Canadien des Engrais
278004,Open Media Engagement Network,null
278024,LifeScan Canada Ltd,null
278044,Carlson Wagonlit Travel(A travers le Groupe parlementaire),null
278045,null,Location Océan Inc.
278064,null,Location Océan Inc.
278065,null,Buanderie Blanchelle inc.
278066,WIGUP Corp.,null
278067,Writers Guild of Canada,null
278084,Loblaw Companies Limited,null
278086,Saskatchewan Milk Marketing Board,null
278087,Ciena Corporation,null
278089,FAIR TRADE JEWELLERY COMPANY LTD.,null
278090,null,MRC Maria-Chapdelaine
278104,Association of Fundraising Professionals,null
278124,Miziwe Biik Development Corporation,null
278144,Toronto Association of Business Improvement Areas,-
278184,Aga Khan Foundation Canada,Fondation Aga Khan Canada
278185,3M CANADA COMPANY,null
278187,3M CANADA COMPANY,null
278189,Ontario Sawdust Supplies Ltd.,null
278204,Waterfront Toronto,null
278224,Consortium national de formation en santé,Consortium national de formation en santé
278284,Canadian Fertilizer Institute,Institut canadien des engrais
278304,Bakerhaus Veit,null
278305,Ontario Bioscience Industry Organization,null
278324,National Allied Golf Associations,null
278326,Coastal Alliance for Aquaculture Reform,null
278345,CHC Helicopters,null
278346,JDS Energy & Mining Inc.,null
278364,Consolidated Thompson Iron Mines Limited,null
278365,Alberta Milk,null
278366,Canadian Federation of Agriculture,Fédération canadienne de l'agriculture
278367,Alberta Milk,null
278384,Chep Canada,null
278444,Fortress Specialty Cellulose Inc.,null
278464,Saskatchewan Milk Marketing Board,null
278465,Saskatchewan Milk Marketing Board,null
278484,O.I. Group,null
278485,Aveos Fleet Performance Inc,null
278486,Aveos Fleet Performance Inc,null
278487,Aveos Fleet Performance Inc,null
278488,Aveos Fleet Performance Inc,null
278489,Beef Farmers of Ontario,null
278504,CHC Helicopters,null
278524,CHEP Canada Inc.,null
278525,CHEP Canada Inc.,null
278544,Finning (Canada),null
278564,Intuit Inc.,null
278584,Canadian Nurses Association (CNA),ASSOCIATION DES INFIRMIERES ET INFIRMIERS DU CANADA
278604,null,AQTA (Association Québécoise du Transport Aérien)
278605,Saskatchewan Milk Marketing Board,null
278606,Ernst and Young LLP,null
278607,Canadian Federation of Agriculture,La Fédération canadienne de l'agriculture
278608,Nycomed,null
278609,Canadian Society of Immigration Consultants,La societe canadienne de consultants en immigration
278624,Software AG,null
278625,Orgaworld Canada Ltd.,null
278626,TMX Group,null
278644,Dairy Farmers of Manitoba,null
278664,Dairy Farmers of Manitoba,null
278665,Dairy Farmers of Manitoba,null
278666,Dairy Farmers of Manitoba,null
278667,Dairy Farmers of Manitoba,null
278668,Dairy Farmers of Manitoba,null
278669,Dairy Farmers of Manitoba,null
278670,Dairy Farmers of Manitoba,null
278671,TMX Group,null
278672,Dairy Farmers of Manitoba,null
278684,Coca-Cola Refreshments Canada,null
278685,Dairy Farmers of Canada,null
278704,Procurity,null
278705,Dr. Oetker Canada Limited,null
278706,Rio Tinto Alcan Inc.,null
278707,Flying Colours Corp.,Flying Colours Corp.
278724,Coca-Cola Refreshments Canada,null
278744,null,Groupe Trudo Inc.
278745,null,Sitraco Industries Inc.
278746,BPR Group Inc.,Groupe BPR Inc.
278747,Nycomed,null
278784,TekSavvy Solutions Inc.,null
278804,Bell Aliant Inc.,null
278824,ELISERA Electronic Systems Ltd.,null
278825,THE GEO Group Inc.,null
278826,Sport Matters,Sport est Important
278844,Consolidated Thompson Iron Mines Limited,null
278864,wealth creation and preservation inc,null
278884,Raymor Industries Inc.,null
278885,Grafton-Fraser Inc.,null
278886,null,Dubo Électrique Ltée
278887,null,Dubo Électrique Ltée
278904,Pyromaître Inc.,Pyromaître Inc.
278924,ISRAEL AIRCRAFT INDUSTRIES LIMITED,null
278944,General Atomics Aeronautical Systems,null
278964,Surety Association of Canada,L'Association canadienne de caution
278984,medPharma (BEE Communication inc.),medPharma (BEE Communication inc.)
279004,Minerals and Metals Group (MMG),null
279005,Minerals and Metals Group (MMG),null
279006,Minerals and Metals Group (MMG),null
279024,Enerflow Industries Inc.,null
279025,Taseko Mines Limited,null
279026,Canadian Cable Systems Alliance,null
279027,ENERFLOW INDUSTRIES INC.,null
279044,Toronto Waterfront Revitalization Corporation,null
279064,Kitchen Partners Ltd.,null
279084,iGPS Company,null
279104,Moorfield Investments Limited,null
279124,null,Denise Lefebvre
279125,Great Lakes Biodiesel,null
279165,ARVA INDUSTRIES INC.,null
279167,PATLON AIRCRAFT & INDUSTRIES LIMITED,null
279168,ARVA INDUSTRIES INC.,null
279204,MAXIMOFF ADVANCED SYSTEMS & TECHNOLOGIES,null
279205,MAXIMOFF ADVANCED SYSTEMS & TECHNOLOGIES,null
279224,NP AEROSPACE,null
279225,NP AEROSPACE INC.,null
279226,NP AEROSPACE INC.,null
279227,Knowledge Circle Learning Services Inc.,null
279228,Knowledge Circle Learning Services Inc.,null
279244,ISRAEL AIRCRAFT INDUSTRIES LIMITED,null
279264,Steelworkers Humanity Fund,Fonds humanitaire des Métallos
279304,PARAMETRIC TECHNOLOGY CORP.,null
279305,SAAB BARRACUDA AB,null
279324,CASCADE AEROSPACE INC.,null
279325,COLT CANADA CORP.,null
279344,EPCOR Centre for the Performing Arts,null
279345,MI Developments Inc.,null
279346,Great Northern Way Campus,null
279347,Melford International Terminal Inc.,null
279348,Rocky Mountaineer Vacations,null
279349,Science World British Columbia,null
279350,Terry Fox Research Institute,null
279351,Toyota Motor Manufacturing Canada Inc,null
279352,Transat AT,null
279353,MI Developments Inc.,null
279354,Livingston International Inc.,null
279355,PearTree Financial Services Ltd.,null
279356,PearTree Financial Services Ltd.,null
279364,null,Aéroport de Québec inc.
279365,De Beers Canada Inc.,null
279384,IBM GLOBAL BUSINESS SERVICES,null
279385,De Beers Canada,null
279386,Vale,Vale
279387,MANDUS GROUP LTD.,null
279388,MANDUS GROUP LTD.,null
279389,MANDUS GROUP LTD.,null
279390,SPRUNG INSTANT STRUCTURES LTD.,null
279391,SPRUNG INSTANT STRUCTURES LTD.,null
279392,SPRUNG INSTANT STRUCTURES LTD.,null
279404,Teksavvy Solutions Inc.,null
279424,SAFE SOFTWARE,null
279425,SAFE SOFTWARE,null
279426,ENCANA CORPORATION,null
279428,ELBIT SYSTEMS LAND & C4I CANADA,null
279444,ELBIT LAND & C4I CANADA,null
279445,HP Enterprise Services (formerly EDS Canada),null
279446,CAE Professional Services,null
279447,TEXTRON SYSTEMS,null
279464,MAXIMOFF ADVANCED SYSTEMS & TECHNOLOGIES,null
279465,MAXIMOFF ADVANCED SYSTEMS & TECHNOLOGIES,null
279484,POS Bio-Sciences,null
279504,Contac Services,null
279544,Friends of Canadian Broadcasting,null
279564,Gourmet Baker Inc.,null
279584,Sherritt International Corporation,Sherritt International Corporation
279585,null,Écotech Québec
279586,Caterpillar Marine Power Systems,null
279588,Ronmor Developers Inc.,null
279604,Afton Chemical Corporation,null
279624,General Dynamics Ordnance & Tactical Systems Canada Inc.,null
279644,OFFSHORE SYSTEMS INTERNATIONAL LTD.,null
279664,Cooks Dairy Farm Limited,null
279665,Canadian Medical Association,Association médicale canadienne
279684,Canadian Medical Association,Association médicale canadienne
279685,Ontario Association of Non-Profit Homes and Services for Seniors,null
279686,3M CANADA COMPANY,null
279687,ALBERTA ETHANOL AND BIODIESEL GP LTD,null
279704,DEW Engineering and Development ULC,null
279724,VALCOM,null
279725,Écotech Québec,Écotech Québec
279744,Climate Action Network Canada,Reseau Action Climat Canada
279764,SOFEMA Group,Sofema Groupe
279765,Cisco Systems Canada Co.,null
279784,Sherbrooke Museum of Nature and Science,Musée de la nature et des sciences de Sherbrooke
279804,Mist Mobility Integrated Systems Technology (MMIST),null
279824,Cote First Nation,null
279844,Agency 1,null
279845,Lac Seul First Nation,null
279864,The Mining Association of Canada,L'Association minière du Canada
279865,VALCOM,null
279884,null,Système de gestion Melchior Inc.
279904,Rick Hansen Man in Motion Foundation,null
279905,Rick Hansen Man in Motion Foundation,null
279906,Roy Elliot O'Connor,null
279924,Canadian Independent Petroleum Marketers Association,null
279944,Prospectors & Developers Association of Canada,null
279964,null,Monorail Trens-Québec
279965,Canadian Media Production Association,null
279984,XM Canada,null
280004,Taseko Mines Limited,null
280024,Fortress Speciality Cellulose Inc.,null
280044,EMD Serono Canada,null
280045,Canadian Forest Navigation Co.Ltd,Canadian Forest Navigation Co.Ltd
280064,University of Alberta (Campus St-Jean),null
280084,Chicken Farmers of Canada,Les Producteurs de Poulet du Canada
280085,Cytori Therapeutics Inc,null
280086,Oberon Capital Corporation,null
280104,null,Société de télédiffusion du Québec  (Télé-Québec)
280105,Mood Disorders Society of Canada,Societe pour les troubles de l'humeur du Canada
280106,The Mood Disorders Society of Canada,null
280144,NAVANTIA,null
280145,NAVANTIA,null
280164,Dorato Resources Inc,null
280165,MODIS,null
280166,Dorato Resources Inc,null
280184,Husky Energy Inc.,null
280204,Reckitt Benckiser Pharmaceuticals Inc,Reckitt Benckiser Pharmaceuticals Inc.
280224,Harnois Shelters,Abris Harnois
280244,Valley Associates Inc,null
280245,Hoffmann-La Roche Limited,null
280246,null,Idées Solutions Enr.
280264,Chicken Farmers of Canada,Les Producteurs de Poulet du Canada
280284,Karen Hatchard,null
280285,SASKATCHEWAN ASSOCIATION OF RURAL MUNICIPALITIES (SARM),null
280304,Richard Copple,null
280305,John K. Easton,null
280306,Orville Walsh,null
280324,Husky Energy Inc.,null
280345,Ytria Inc.,Ytria inc.
280346,Waterloo Wellington Flight Centre,null
280364,null,l'Association des universités de la francophonie canadienne
280384,Canadian Real Estate Association,null
280404,The Mood Disorders Society of Canada,null
280424,Meade Willis Inc.,Meade Willis inc.
280425,Beauvel-Micronsult inc.,Beauvel-Micronsult inc.
280445,Corix Infrastructure Inc.,null
280464,Cisco Systems Canada,null
280465,Corix Utilities,null
280484,Canada's Research-Based Pharmaceutical Companies,Les companies de recherche pharmaceutique du Canada
280485,Nestlé Waters Canada,null
280504,Canadian Associaton of Gift Planners,null
280524,Alpha Group Trading Systems,null
280525,ITT,null
280544,l'Association des universités de la francophonie canadienne,null
280584,National Allied Golf Associations,null
280604,Liebert Canada,Liebert Canada
280605,Czech Weapons,null
280606,Harnois Shelters,Abris Harnois
280624,Red Rock First Nation,null
280645,Intact Financial Corporation,null
280646,Intact Financial Corporation,null
280684,Dancor Construction Development,null
280685,Canadian Physiotherapy Association,Association canadienne de physiotherapie
280686,Canada Coal Inc.,null
280687,Wikwemikong Unceded Indian Reserve,null
280724,Center Czech Inc.,Le Centre Tchèque inc.
280725,Canadian Natural Gas,Gaz Naturel Canadien
280726,Oshkosh Defense,null
280727,Vale Inco Ltd.,null
280744,Transervice Lease Co.,null
280745,RIVERLAND AG CORP,null
280746,RIVERLAND AG CORP,null
280747,RIVERLAND AG CORP,null
280748,RIVERLAND AG CORP,null
280749,Raytheon Canada Limited,null
280784,CANADIAN ASSOCIATION OF PETROLEUM PRODUCERS,association canadienne des producteurs pétroliers
280785,Nexen Inc.,null
280786,Centre for Addiction and Mental Health,Centre de Toxicomanie et de Santé Mentale
280804,Cobham Tactical Communications and Surveillance,null
280805,Suncor Energy Inc.,Suncor Énergie Inc.
280824,Progress Energy Resources Corp.,null
280844,Nexen Inc.,null
280864,null,NEXTER Systems
280884,Maple Group Acquisition Corporation,null
280924,ole,null
280944,null,Corporation Groupe Mercator Transport
280945,null,Corporation Groupe Mercator Transport
280946,Dairy Farmers of New Brunswick,null
280984,WONGA UK,null
280985,Canadian Steel Producers Association,L'Association Canadienne des producteurs d'acier
280986,Esporta Wash Systems Inc.,null
281004,Canada's Research-Based Pharmaceutical Companies,null
281005,Vale Canada Ltd.,null
281024,Trio Tech Inc.,null
281044,The Co-operators Group Limited,Groupe Co-operators limitée
281064,Rio Tinto Alcan,null
281065,Revera Inc.,null
281084,Enbridge Inc.,null
281085,Johnson & Johnson,null
281086,Progress Energy Resources Corp.,null
281104,Avanti Mining Inc.,Avanti Mining Inc.
281105,Air Canada Pilots Association MC,null
281124,Shoppers Drug Mart Corporation,null
281125,Shoppers Drug Mart Corporation,null
281126,Shoppers Drug Mart Corporation,null
281144,Plasco Energy Group,null
281164,Springboard West Innovation Inc.,null
281165,Whitecap Development Corporation,null
281166,Saskatchewan Indian Institute of Technologies,null
281184,Canadian Energy Pipeline Association,null
281204,Tribal Wi-Chi-Way-Win Capital Corporation (TWCC),null
281224,Strait Air,null
281244,Frame 30 Productions Ltd.,null
281264,Canadian Natural Gas,Gaz Naturel Canadien
281265,Tribal Wi-Chi-Way-Win Capital Corporation (TWCC),null
281266,Tribal Wi-Chi-Way-Win Capital Corporation (TWCC),null
281267,Tribal Wi-Chi-Way-Win Capital Corporation (TWCC),null
281268,The Canadian Real Estate Association,L'Association canadienne de l'immeuble
281269,Cable Public Affairs Channel Inc,la chaine d'affaires publiques par cable inc
281284,Pitney Bowes Canada,null
281304,Goldcorp Inc.,Goldcorp Inc
281324,HRG North America,null
281344,Husky Energy Inc.,null
281364,Indigenous Education Coalition,null
281365,Indigenous Education Coalition,null
281384,Husky Energy Inc.,null
281404,EMD Serono Canada,null
281424,Brooklyn Navy Yard Cogeneration Partners,null
281444,Griffith Laboratories,null
281464,null,A.T. Fabrication inc.
281484,Nordion,Nordion
281504,null,Réseau des Cégeps et des Collèges Francophones du Canada
281505,Revolution Linux inc.,Révolution Linux inc.
281524,null,Réseau des Cégeps et des Collèges Francophones du Canada
281545,Ernst and Young LLP,null
281564,Maxim Power Corp.,null
281585,Just For Laughs,Juste pour Rire
281604,Maxim Power Corp.,null
281624,Augmentiq,null
281644,The Co-operators Group Limited,Groupe Co-operators limitée
281664,Indigenous Education Coalition,null
281684,Couchiching First Nation,null
281685,Nigigoonsiminikaaning First Nation,null
281704,CANADIAN ENERGY PIPELINE ASSOCIATION,ASSOCIATION CANADIENNE DE PIPELINES D'ÉNERGIE
281724,Canadian Wood Pallet and Container Association,Association canadienne des manufacturiers de palettes et contenants
281725,Corix Utilities,null
281726,Potash Corporation of Saskatchewan Inc.,null
281744,Canadian Federation of Agriculture,La Fédération canadienne de l'agriculture
281764,Evenko,null
281784,Merit Canada,null
281804,Fort William First Nation,null
281824,iGPS Company,null
281844,Fort Williams,null
281864,Groupe Aeroplan Inc.,null
281885,VINYLCRAFT EXTRUSION LTD.,null
281904,Canadian Fuels Association,association canadienne des carburants
281905,Brooklyn Navy Yard Cogeneration Partners,null
281924,Transcontinental Inc.,Transcontinental inc.
281944,Pays Plat First Nation,null
281945,Rick Kuzyk,null
281964,Canadian Music Publishers Association,null
281965,Canadian Private Copying Collective,La Société canadienne de perception de la copie privée
281984,Canadian Electricity Association,null
282004,Strateco Resources Inc.,null
282024,Strateco Resources Inc.,null
282025,Ontario Association of Social Workers,L'Association des travailleuses et travailleurs sociaux de l'Ontario
282026,Insidermedicine,null
282027,Transcontinental Inc.,Transcontinental inc.
282064,B.C. LUMBER TRADE COUNCIL,null
282084,STR-SpeechTech Ltd,null
282104,null,Fédération des producteurs de lait du Québec
282105,null,Fédération des producteurs de lait du Québec
282124,CHEP Canada Inc.,null
282144,Shell Canada Limited,null
282164,Canadian Electricity Association,null
282166,Canadian Electricity Association,null
282167,Dairy Farmers of Ontario,null
282184,BCE Inc.,null
282204,National Coalition Against Contraband Tobacco,La Coalition Nationale Contre Le Tabac de Contrebande
282224,Climate Change and Emissions Management Corporation,null
282225,PV Labs,null
282244,ZeroFootprint Software Inc.,null
282245,Climate Change and Emissions Management Corporation,null
282246,PV Labs,null
282264,Canadian Propane Association,Association Canadienne du Propane
282284,AltaGas Utility Group Inc.,null
282285,Calvert Home Mortgage Investment Corporation,null
282304,Shell Canada Energy,null
282324,TekSavvy Solutions Inc,null
282325,Vancouver International Airport Authority,null
282344,Halifax-Dartmouth Bridge Commission,null
282345,Research in Motion Limited,null
282346,Baffinland Iron Mines Corporation,null
282347,Baffinland Iron Mines Corporation,null
282364,Bodycad Laboratories Inc,Laboratoires Bodycad Inc.
282384,CONOCO PHILLIPS CANADA,null
282385,Bingwi Neyaashi Anishinaabek,null
282386,Panthera Dental Inc (cie a être formée),Panthera Dental Inc (cie a être formée)
282404,CANADIAN LIGHT SOURCE INC.,Centre Canadien de Rayonnement Synchrotron
